record_offset,sig8,body_prefix,pos020,pos024,pos094,pos0a4
408019746,0000010c43fc9ae9,7321,1551721276,3922456395,4461302,85835445
408836794,0000010c43fc9ae9,7321,4119720260,801058721,571046676,2288979214
409743158,0000010c43fc9ae9,7321,4245837791,70811129,2231164,361560150
409993454,0000010c43fc9ae9,7321,2633239968,4233235428,260050752,2011085392
410857362,0000010c43fc9ae9,7321,2474588544,3734295699,17470,997154088
411334229,0000010c43fc9ae9,7321,2943306712,2124739579,9536529,2767771142
411777399,0000010c43fc9ae9,7321,2010265984,4171568648,12247559,2962213895
411870225,0000010c43fc9ae9,7321,4003739520,4031458576,1148977338,2626202072
412315973,0000010c43fc9ae9,7321,1264352611,3253324783,226511042,1462813879
412745385,0000010c43fc9ae9,7321,2633812737,939042206,520101760,4139546017
413350229,0000010c43fc9ae9,7321,4207310882,2548013008,546484295,2230900448
414372618,0000010c43fc9ae9,7321,3302307782,1314881215,1686212354,3797674969
414579028,0000010c43fc9ae9,7321,3460947712,925218112,115344352,3083836855
415097664,0000010c43fc9ae9,7321,3184998262,876598009,2441362698,2289020263
415327022,0000010c43fc9ae9,7321,1325327616,2052280911,33030392,3983796141
416120965,0000010c43fc9ae9,7321,4003739520,4031458576,574897664,2970577998
416477897,0000010c43fc9ae9,7321,1551721276,3922456395,4461302,85835445
417292210,0000010c43fc9ae9,7321,4119720260,801058721,3562782265,1636762304
525855700,0000010c43fc9ae9,7321,1055726563,886042620,2383936821,731576268
526308935,0000010c43fc9ae9,7321,1558100056,2950477610,3160916736,4057422073
534331272,0000010c43fc9ae9,7321,1055726563,886042620,2383936821,731576268
534787259,0000010c43fc9ae9,7321,1507768417,2045099733,1041958480,2914117259
811573742,0000010c43fc9ae9,7321,632995377,3774146039,1178634523,1156816569
811769458,0000010c43fc9ae9,7321,3302307782,1314881215,1686212354,3797674969
811950391,0000010c43fc9ae9,7321,3460947712,925218112,115344352,3083836855
812279453,0000010c43fc9ae9,7321,3032363422,3863452199,1636762304,1802557447
812418275,0000010c43fc9ae9,7321,3184998262,876598009,2284121169,1115450173
812633042,0000010c43fc9ae9,7321,1325327616,2052280911,33030392,3983796141
813365276,0000010c43fc9ae9,7321,1312425936,3218342625,63968575,773127104
813426705,0000010c43fc9ae9,7321,4003739520,4031458576,4472320,3698977602
813761605,0000010c43fc9ae9,7321,1551721276,3922456395,4461302,85835445
814574699,0000010c43fc9ae9,7321,4119720260,801058721,571046676,2288979214
815475919,0000010c43fc9ae9,7321,4245837791,70811129,2231164,361560150
815724238,0000010c43fc9ae9,7321,2633239968,4233235428,260050752,2011085392
816158971,0000010c43fc9ae9,7321,2664495814,1895468660,273275043,3780844316
816323184,0000010c43fc9ae9,7321,3471818174,11008401,2152251934,3239108442
816581985,0000010c43fc9ae9,7321,2474588544,3734295699,4063294,2671472477
817055022,0000010c43fc9ae9,7321,2943306712,2124739579,9536529,2767771142
817494638,0000010c43fc9ae9,7321,2010265984,4171568648,12247559,1118900076
817586776,0000010c43fc9ae9,7321,4003739520,4031458576,8126650,4090922338
818028930,0000010c43fc9ae9,7321,1264352611,3253324783,226511042,1462813879
818455121,0000010c43fc9ae9,7321,2633812737,939042206,520101760,4139546017
819055472,0000010c43fc9ae9,7321,4207310882,2548013008,546484295,2230900448
819315771,0000010c43fc9ae9,7321,671052288,3173624103,4026658817,1944562955
819879816,0000010c43fc9ae9,7321,632995377,3774146039,136868099,1759392599
820084471,0000010c43fc9ae9,7321,3302307782,1314881215,1686212354,3797674969
820289382,0000010c43fc9ae9,7321,3460947712,925218112,115344352,3083836855
820644292,0000010c43fc9ae9,7321,3032363422,3863452199,3256747392,3605049359
820804178,0000010c43fc9ae9,7321,3184998262,876598009,2441362698,2289020263
821032022,0000010c43fc9ae9,7321,1325327616,2052280911,33030392,3983796141
821413545,0000010c43fc9ae9,7321,2960083928,2124739451,3825240100,1930854626
821750006,0000010c43fc9ae9,7321,2479751540,632635576,255875068,3125865475
821820082,0000010c43fc9ae9,7321,4003739520,4031458576,1040203264,3698977602
822174432,0000010c43fc9ae9,7321,1551721276,3922456395,4461302,85835445
822504504,0000010c43fc9ae9,7321,2633812737,4104561822,4160813056,3018304779
822844343,0000010c43fc9ae9,7321,3891748575,2194930760,3355512905,1739481284
822984181,0000010c43fc9ae9,7321,4119720260,801058721,3191417877,46167808
823184810,0000010c43fc9ae9,7321,4063168464,2610068082,2462879937,2898458726
930794804,0000010c43fc9ae9,7321,1055726563,886042620,2383936821,731576268
931244150,0000010c43fc9ae9,7321,1558100056,2950477610,3160916736,4057422073
935484091,0000010c43fc9ae9,7321,1507768417,2045099733,2322706449,1358378774
939221671,0000010c43fc9ae9,7321,1055726563,886042620,2383936821,731576268
939673642,0000010c43fc9ae9,7321,1507768417,2045099733,1041958480,2914117259
