offset,sig8,body_prefix,pos_008,pos_014,pos_01c,pos_020,pos_024,pos_028,pos_088,pos_094,pos_0a4
812418275,0000010c43fc9ae9,7321,1390485875,3035985068,3250712853,3184998262,876598009,1251611104,144528360,2284121169,1115450173
812633042,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141
813365276,0000010c43fc9ae9,7321,1390485875,4152684473,4244879610,1312425936,3218342625,2863723526,2977395544,63968575,773127104
813426705,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,4472320,3698977602
813761605,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445
814574699,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,436233383,571046676,2288979214
815475919,0000010c43fc9ae9,7321,1390485875,1465637498,407872627,4245837791,70811129,2926463594,323122746,2231164,361560150
815724238,0000010c43fc9ae9,7321,1390485875,2126702556,4211577077,2633239968,4233235428,2864894491,273411293,260050752,2011085392
816158971,0000010c43fc9ae9,7321,1390485875,2821549373,2015553520,2664495814,1895468660,3953566809,153172765,273275043,3780844316
816323184,0000010c43fc9ae9,7321,1390485875,1541044962,2970291854,3471818174,11008401,1968427660,2228238725,2152251934,3239108442
816581985,0000010c43fc9ae9,7321,1390485875,4152668089,2130688446,2474588544,3734295699,928126358,2105746934,4063294,2671472477
817055022,0000010c43fc9ae9,7321,1390485875,1608153826,84395795,2943306712,2124739579,1232585065,731006092,9536529,2767771142
817494638,0000010c43fc9ae9,7321,1390485875,3993624435,3995058389,2010265984,4171568648,1418044727,4134407851,12247559,1118900076
817586776,0000010c43fc9ae9,7321,1390485875,2126698460,3995009238,4003739520,4031458576,1377127023,1273814300,8126650,4090922338
818028930,0000010c43fc9ae9,7321,1390485875,1835658121,1016188641,1264352611,3253324783,2926463594,3750006941,226511042,1462813879
818455121,0000010c43fc9ae9,7321,1390485875,4152676281,1962926074,2633812737,939042206,2371126693,3239213879,520101760,4139546017
819055472,0000010c43fc9ae9,7321,1390485875,1267142695,1904738114,4207310882,2548013008,2496955091,306345530,546484295,2230900448
819315771,0000010c43fc9ae9,7321,1390485875,2776351479,4252893275,671052288,3173624103,1856252460,392333757,4026658817,1944562955
819879816,0000010c43fc9ae9,7321,1390485875,4171580296,3737246991,632995377,3774146039,3561834931,587246191,136868099,1759392599
820084471,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969
820289382,0000010c43fc9ae9,7321,1390485875,4178141043,3128885337,3460947712,925218112,2371126693,3577694956,115344352,3083836855
820644292,0000010c43fc9ae9,7321,1390485875,762133789,147321183,3032363422,3863452199,1228079772,3655940265,3256747392,3605049359
820804178,0000010c43fc9ae9,7321,1390485875,3035985068,3250712853,3184998262,876598009,1251611104,2708671133,2441362698,2289020263
821032022,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141
821413545,0000010c43fc9ae9,7321,1390485875,1608153826,84395795,2960083928,2124739451,1232585065,3915092234,3825240100,1930854626
821750006,0000010c43fc9ae9,7321,1390485875,4152676281,4278235326,2479751540,632635576,1418044727,3302935905,255875068,3125865475
821820082,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,1040203264,3698977602
822174432,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445
822504504,0000010c43fc9ae9,7321,1390485875,4152676281,1962926074,2633812737,4104561822,3096554160,196199646,4160813056,3018304779
