xml_key,term,offset_hex,cluster_id,excerpt
PROGRESS,Progress,0x2ffcca0e,4,"AI_List) |   <AI No=""0""+Z |   +D | String' | gaHudAiRaceProgress+ | m\<1 | Car+L"
OPTIONS,Options,0x3dc0fead,5,"ue Name=""ICont/InFr| | MinDist"" Type=""Float""  | =""50.0` | "" SaveOptions=""False | PlayerStatp | 10 . | Behind/; | Settings/"
OPTIONS,Options,0x3dc10c9c,5,"Player"" Typ | e=""Bool"" Value=""False"" SaveOptions+L | PlayerState=""True""/> |     < |  Name=""MasterRallye/Car4p | ID"" Type=""Int' | Class G | Driver I|"
PROGRESS,Progress,0x3dc10dd9,5,"2P  p | SpeedUnit 6 | Catchup | Gearbox1 E | Progress/Win"" | us/Won_T1_BagooC 7 | Elf R | BFGoodrich R"
OPTIONS,Options,0x3dc10f51,5,"$H  M | ;"" SaveOptions=""False"" SavePlayerState=""True""/> |     <Value Name=""Progress/Winp | us/Won_T3_BFGoodrichCup"" Type=""Int""  | Fujitsu R"
PROGRESS,Progress,0x3dc10f8c,5," SaveOptions=""False"" SavePlayerState=""True""/> |     <Value Name=""Progress/Winp | us/Won_T3_BFGoodrichCup"" Type=""Int""  | Fujitsu R | Go R | 1Master M | _Stage Np"
PROGRESS,Progress,0x3dc111f9,5,"O=""False"" SavePlayerState=""True""/> |     <Value Name=""Progress/UnlockedCars/T3CupCar1"" Type=""Bool""  | =""Fa' | Options+L | 1MasterRallyeCar Q | Challeng T | Invitali P | Bonus Q"
OPTIONS,Options,0x3dc11231,5,"e Name=""Progress/UnlockedCars/T3CupCar1"" Type=""Bool""  | =""Fa' | Options+L | 1MasterRallyeCar Q | Challeng T | Invitali P | Bonus Q | OpenedModes/T2Cup C"
PROGRESS,Progress,0x3dc11488,5," State=""True""/> |     <Value Name=""Progress/BestTime($ | _Challenge9"" Type=""Float""  | =""600.0` | "" SaveOptions=""False | PlayerStat ! | 10 e | Invita`- e"
OPTIONS,Options,0x3dc114cc,5,"ress/BestTime($ | _Challenge9"" Type=""Float""  | =""600.0` | "" SaveOptions=""False | PlayerStat ! | 10 e | Invita`- e | 2 e5"
OPTIONS,Options,0x3dc11822,5,"""Controller/Car/Joystick0/Reset/Ascii"" Type=""Int""  | =""-1"" SaveOptions=""True | PlayerState=""False""/> | LookBack/x | Button2 | Axis Y | ChangeView S | Fire S"
OPTIONS,Options,0x3dc11e8a,5,"erParams% | %39DriNds/ | XmlData'85 | gaICont | "" SaveOptions="" | PlayerStat"" | :# 6 |   <1$"
OPTIONS,Options,0x3dc121b7,5,"</gaIContDriverParams | XmlData't | "" SaveOptions=""False | PlayerStatt, |   <1$ | Velocity : Min (mps) | 8.4t78 | ax:+"
OPTIONS,Options,0x3dc12593,5,"-"" Type=""XmlData"" Value=""gaIContDriverParams"" SaveOptions=""False | PlayerState |  NamH | Velocity : Min (mps)"" TypL | Float'x | 8.50000""/  | ax:( | 47.1 "
OPTIONS,Options,0x3dc134a3,5,"leDescriptorXml%bM</# | s2/Jum' | XmlData'|M4t | "" SaveOptions=""False | PlayerStat"" |   <40 | Bonnet Cam | !VecU"
OPTIONS,Options,0x3dc13f3c,5,"iptorXml% | -</# | s2/Landcruiser | XmlData',/4 | "" SaveOptions=""False | PlayerStat""X0 |   <40 | Bonnet Cam"
OPTIONS,Options,0x3dc149c4,5,"eDescriptorXml | s2/Forklift | XmlData'@ | "" SaveOptions=""False | PlayerStatl |   <40 | Bonnet Cam | Vector3'p"
OPTIONS,Options,0x3dc17317,5,"hicleDescriptorXml | s2/Tank | XmlData' | "" SaveOptions=""False | PlayerStatx |   <40 | Bonnet Cam | Vector3'p"
OPTIONS,Options,0x3dc19c86,5,"criptorXml | s2/Simmbugghini | XmlData'| | "" SaveOptions=""False | PlayerStath |   <40 | Bonnet Cam | Vector3'p"
OPTIONS,Options,0x3dc1c644,5,"DescriptorXml | s2/SeatBuggy | XmlData'P | "" SaveOptions=""False | PlayerStat| |   <40 | Bonnet Cam | Vector3'p"
OPTIONS,Options,0x3dc1efcf,5,"cleDescriptorXml | s2/Kangoo | XmlData' | "" SaveOptions=""False | PlayerStatt |   <40 |   +, | Bonnet Cam"
OPTIONS,Options,0x3dc21954,5,"eDescriptorXml | s2/Terrano | XmlData'X 4 | "" SaveOptions=""False | PlayerStat"" |   <40 | Bonnet Cam | Vector3'p"
OPTIONS,Options,0x3dc22373,5,"torXml |  NamD | s2/Chevyblazer | XmlData' | "" SaveOptions=""False | PlayerStatD |   <40 |   <*"
OPTIONS,Options,0x3dc242a5,5,"leDescriptorXml% | ""</#$# | s2/Kamaz | Data' | "" SaveOptions=""False | PlayerStat""4% |   <40 |   +p%"
OPTIONS,Options,0x3dc24ce5,5,"cleDescriptorXml | s2/Custom | XmlData'< | "" SaveOptions=""False | PlayerStath3 |   <40 | Bonnet Ca'p | Vector3'p"
OPTIONS,Options,0x3dc26c35,5,"riptorXml% | '</#p& | s2/Kiasportag' | Data'l'4 | "" SaveOptions=""False | PlayerStat"" |   <40 | Bonnet Cam"
OPTIONS,Options,0x3dc2769c,5,"leDescriptorXml | s2/Megane2 | XmlData' | "" SaveOptions=""False | PlayerStatlQ |   <40 |   +\ | Bonnet Cam"
OPTIONS,Options,0x3dc297bd,5,"s2/+ | /Forklift/Player2 | XmlData' | "" SaveOptions=""False | State=""True"" |   <78 | SpringRate | Damper "
OPTIONS,Options,0x3dc29971,5,"s2/+ | /MattserD | /Player1 | XmlData'P | "" SaveOptions=""False | State=""True"" |   <78 | FrontSpringRate"
OPTIONS,Options,0x3dc29c4c,5,"SeatBuggy  | #Ufo  | onsXml"" SaveOptions=""False | PlayerState=""True""> | <gaVehicleModifica | Xml' |   <Value Name=""FrontSpringRate"" Typx | loat"" "
OPTIONS,Options,0x3dc29f03,5,"sXml | s2/+ | /Xtrail/Player1 | XmlData'D | "" SaveOptions=""False | State=""True"" |   <78 | pQ  d"
