string_offset_hex,string_len,path,prev_marker_hex,marker_to_string_dist,tag,pre24_hex,last12_hex,cand_u32_a_hex,cand_u32_b_hex,trail_u16_a_hex,trail_u16_b_hex,extension
0xced9,41,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI",0xceb8,33,l,b4885d00030000005c544e471100000c100000b70f000000,1100000c100000b70f000000,0xc000011,0xb7000010,0xf,0x0,GXI
0xd00c,4,.PSM,0xcfd3,57,l,28006f0024f85d791900363c037c2302595f4d315ce0010c,037c2302595f4d315ce0010c,0x2237c03,0x314d5f59,0xe05c,0xc01,PSM
0xd0d4,12,FMV\INV1.PSS,0xd093,65,l,252b1f3804c042006c000638ff5e0094d05d00017c590005,ff5e0094d05d00017c590005,0x94005eff,0x1005dd0,0x597c,0x500,PSS
0xd0fc,8,_FLIP\*0,0xd093,105,l,4e2845c24e13006c0003602a5d002caf31ac01dc15dc4a03,5d002caf31ac01dc15dc4a03,0xaf2c005d,0xdc01ac31,0xdc15,0x34a,
0xd9cc,11,ICKRACE.XML,0xd9ac,32,l,00d0392d1c0d035343454e455ce478bff9535c5023a05509,5ce478bff9535c5023a05509,0xbf78e45c,0x505c53f9,0xa023,0x955,XML
0xda99,7,W\NOIS),0xda88,17,l,05471190479c1f00006c0003f4046000f0e3381c01dc2d03,f4046000f0e3381c01dc2d03,0x6004f4,0x1c38e3f0,0xdc01,0x32d,
0xdd69,9,LE%\[$ @t,0xdd3e,43,n,2c483a029350ed47195c246c000358f45d002c01315c0291,000358f45d002c01315c0291,0xf4580300,0x12c005d,0x5c31,0x9102,
0xded6,8,_058.GXI,0xde66,112,l,454e445c4e45575c5449544c4553435245454e7c0198010f,4553435245454e7c0198010f,0x52435345,0x7c4e4545,0x9801,0xf01,GXI
0xdf75,20,VEHICLES\KIASPORTAGE,0xdf45,48,l,280801016910c15d68228f0014a25e9c0070002b7c04000d,14a25e9c0070002b7c04000d,0x9c5ea214,0x2b007000,0x47c,0xd00,
0xe308,18,S\PS2\PROGRESS.XML,0xe2c9,63,l,000334875d0000e72d7c06025343454e4527041fbc3c0009,5343454e4527041fbc3c0009,0x4e454353,0x1f042745,0x3cbc,0x900,XML
0xe4b5,16,HUD\HUD-NUMS.PSB,0xe4a5,16,l,1705effa1648ed0300006c00030c755e00a04f316c0f0009,030c755e00a04f316c0f0009,0x5e750c03,0x314fa000,0xf6c,0x900,PSB
0xeaf2,7,dNFy\Nl,0xead3,31,l,5c00cc5b313c04dc32be60533122fb5d434f412bbc5a0212,3122fb5d434f412bbc5a0212,0x5dfb2231,0x2b414f43,0x5abc,0x1202,
0xeebe,7,TGA.GXI,0xee80,62,n,3607414c554d494e49554d2d1100001e100000dc0f00000d,1100001e100000dc0f00000d,0x1e000011,0xdc000010,0xf,0xd00,GXI
0xf13e,5,Gi\al,0xf11a,36,l,2c027f6b59335c601a03504c414e4b532848030369bd23f1,414e4b532848030369bd23f1,0x534b4e41,0x3034828,0xbd69,0xf123,
0xf311,12,FMV\ELF3.PSS,0xf2d1,64,o,77066932306136dbfa3e006c000378415d00307edc1b0005,000378415d00307edc1b0005,0x41780300,0x7e30005d,0x1bdc,0x500,PSS
0xfa44,4,.PSB,0xfa00,68,l,318c038d7e4525ec4908425554544f4e535c505332c80109,54544f4e535c505332c80109,0x4e4f5454,0x53505c53,0xc832,0x901,PSB
0xfdec,6,"s\#@q""",0xfdda,18,l,b89cf941a60a00006c00035c495d00dcb8383c027c4d2299,495d00dcb8383c027c4d2299,0xdc005d49,0x23c38b8,0x4d7c,0x9922,
0xfebe,42,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI,0xfeac,18,l,d737d13d930b00006c00002ac0b85c001c475d0003000000,c0b85c001c475d0003000000,0x5cb8c0,0x5d471c,0x3,0x0,GXI
0xfefa,20,VEHICLES\CHEVYBLAZER,0xfeac,78,l,47412e475849006960b75e00e2002837282c002b0c01000d,e2002837282c002b0c01000d,0x372800e2,0x2b002c28,0x10c,0xd00,
0x103b9,13,MISC\COPT#;$i,0x10385,52,l,2028c81e7ca26c226c0004343d5d00f8e15c68012c6c2506,3d5d00f8e15c68012c6c2506,0xf8005d3d,0x1685ce1,0x6c2c,0x625,
0x10643,5,2.XML,0x10624,31,l,5d0044a62dbc09085343454e455c5241434554604d9c3b09,455c5241434554604d9c3b09,0x41525c45,0x60544543,0x9c4d,0x93b,XML
0x1078c,16,WOOLDAND\CAR.PSM,0x10763,41,n,0669c6dc9d48817d01006c006e757c9531fc04279c0e0008,6e757c9531fc04279c0e0008,0x957c756e,0x2704fc31,0xe9c,0x800,PSM
0x1081b,6,OD>\xl,0x107fc,31,l,5d002809313c01cc13ce4c533167705445582a5c02021ad1,3167705445582a5c02021ad1,0x54706731,0x5c2a5845,0x202,0xd11a,
0x10ad9,5,Gb\Ol,0x10ab7,34,l,6c311c012dcc07700823c44e014a4e415629e42002a37dd3,014a4e415629e42002a37dd3,0x414e4a01,0x20e42956,0xa302,0xd37d,
0x10b1e,5,8<G\?,0x10aff,31,l,6000100c311c01dc986c08239c29014241474f29905d05da,9c29014241474f29905d05da,0x4201299c,0x294f4741,0x5d90,0xda05,
0x10e1e,6,05.PSS,0x10dc4,90,n,048037006c0003fc725f00b033254c7701464d565ca0100b,33254c7701464d565ca0100b,0x774c2533,0x564d4601,0xa05c,0xb10,PSS
0x10f75,16,FMV\MASTER03.PSS,0x10f28,77,l,a01c05445ebf3aef2b38006c000394cd5d005896dc090009,000394cd5d005896dc090009,0xcd940300,0x9658005d,0x9dc,0x900,PSS
0x111d6,5,1.BSP,0x11198,62,l,06694fafac466d9013006f005cb45d20044e02315ce4800b,5cb45d20044e02315ce4800b,0x205db45c,0x31024e04,0xe45c,0xb80,BSP
0x1138b,4,.PSB,0x1131e,109,l,005eea746f319c02e449236c207075025c424f4f5460010a,207075025c424f4f5460010a,0x2757020,0x4f4f425c,0x6054,0xa01,PSB
0x11589,6,"]'\""+4",0x1155f,42,l,1c333aa427076969e5c66544839d2a006e0064413c0c2188,839d2a006e0064413c0c2188,0x2a9d83,0x4164006e,0xc3c,0x8821,
