pos,mode,inrange,strong_hits,exact_hits,unique_target_offsets,score,top_matches
164,rel,58,0,0,0,0.132,
364,rel,58,0,0,0,0.132,
416,rel,58,0,0,0,0.132,
220,rel,57,0,0,0,0.13,
324,rel,57,0,0,0,0.13,
456,rel,56,0,0,0,0.128,
140,rel,55,0,0,0,0.125,
408,rel,55,0,0,0,0.125,
132,rel,53,0,0,0,0.121,
44,abs,52,0,0,0,0.118,
32,rel,49,0,0,0,0.112,
72,rel,49,0,0,0,0.112,
80,rel,49,0,0,0,0.112,
212,rel,48,0,0,0,0.109,
240,rel,48,0,0,0,0.109,
312,rel,44,0,0,0,0.1,
48,abs,43,0,0,0,0.098,
8,rel,33,0,0,0,0.075,
44,rel,29,0,0,0,0.066,
16,abs,19,0,0,0,0.043,
48,rel,18,0,0,0,0.041,
12,abs,14,0,0,0,0.032,
20,abs,12,0,0,0,0.027,
16,rel,10,0,0,0,0.023,
12,rel,7,0,0,0,0.016,
20,rel,3,0,0,0,0.007,
