record_offset,sig8,body_prefix,pos008,pos014,pos01c,pos020,pos024,pos028,pos088,pos094,pos0a4,pos148,pos164
599563553,0000010c43fc7d92,c90f,1844711369,3369821751,4215692061,1832910778,1564716007,2384132905,925156601,2444261226,1039353546,1928111660,2209400949
600300166,0000010c43fc7d92,c90f,1175064521,3689727584,3512076182,3485460158,3505027547,3330165463,1948464757,2290400595,2032395623,428400265,3432382814
997047000,0000010c43fc7d92,c90f,1844711369,665679459,2914375041,2130605559,2253836251,32920506,133716663,3627791803,3163681299,4013693797,2084789152
997939291,0000010c43fc7d92,c90f,1844711369,3165484643,1874122113,4143165371,901020382,263233490,3717206247,1222130485,2390303717,3747316638,2943032514
998952694,0000010c43fc7d92,c90f,1844711369,4072069261,3218167303,4283039296,2253836059,32920506,3804818689,3353269400,13839625,221019457,458334715
999697539,0000010c43fc7d92,c90f,1844711369,3369821751,4215692061,1832910778,1564716007,2384132905,925156601,2444261226,1039353546,2456697439,2770945234
999918278,0000010c43fc7d92,c90f,1844711369,665679459,2914309505,2147399159,229482007,65841012,3951876867,2648323765,3852983272,1670544499,425782619
1000384078,0000010c43fc7d92,c90f,1175064521,3689727584,3512076182,3485460158,3505027547,3330165463,1948464757,2290400595,2032395623,2879791826,2944005861
1000544760,0000010c43fc7d92,c90f,2381320137,1866185529,460158304,4261178350,229482167,1827448692,2244568761,466335341,3627775354,2998062115,1107322594
1001315591,0000010c43fc7d92,c90f,1844711369,665679459,2914375041,2130605559,2253836251,32920506,133716663,3627791803,3163681299,280832336,1942509149
1002214599,0000010c43fc7d92,c90f,1844711369,3165484643,1874122113,4143165371,901020382,263233490,3717206247,1222130485,2390303717,3584326251,1301132301
1003199231,0000010c43fc7d92,c90f,1844711369,2044456134,3748178691,4291394464,2253836059,32920506,1910806180,1584360012,13839625,3192138094,2900540337
1004064069,0000010c43fc7d92,c90f,1844711369,3369821751,4215692061,1832910778,1564716007,2384132905,925156601,2444261226,1039353546,1928111660,2209400949
1004303718,0000010c43fc7d92,c90f,1844711369,665679459,2914309505,2147399159,229482007,65841012,3951876867,2648323765,3852983272,1632316987,3762386951
