table_off_hex,target_off_hex,control_hex,nearest_marker_hex,nearest_marker_dist,nearest_marker_tag,nearest_path_hex,nearest_path_dist,nearest_path
0x3b8,0x2400,0x6096,0x2412,18,n,0x2623,547,SPAIN_S1\ROAD1A-TGA.GXI
0x3c8,0xa400,0x234d,0xa3d1,47,l,0x9f8c,1140,VEHICLES\JUMP\WHEEL.PSM
0x3cc,0x5c54,0xe00,0x5c4e,6,n,0x60b7,1123,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x3d0,0xaedc,0x5e,0xaea6,54,n,0xaf03,39,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x3d8,0x718c,0x5e,0x718f,3,l,0x71c0,52,VEHICLES\BRUNO\CAR.PSM
0x3dc,0x9224,0x5e,0x922d,9,n,0x8f8e,662,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x3e0,0x4ca4,0x702,0x4cb1,13,n,0x516a,1222,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x3e4,0xe73c,0x5e,0xe734,8,l,0xe4b5,647,HUD\HUD-NUMS.PSB
0x3ec,0x61f4,0x3b5c,0x61db,25,l,0x60b7,317,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x3f0,0x6d01,0x5f,0x6d00,1,l,0x6d35,52,FMV\GO2.PSS
0x3f4,0x4ce4,0x208,0x4cb1,51,n,0x516a,1158,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x3f8,0x9854,0x5c,0x9845,15,l,0x9f0e,1722,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x3fc,0x5ce8,0x626,0x5c88,96,l,0x60b7,975,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x400,0x8f34,0x5f,0x8f09,43,n,0x8f62,46,\FMV\CHALL02.PSS
0x404,0xf7bc,0x5e,0xf7a4,24,l,0xf311,1195,FMV\ELF3.PSS
0x408,0x4ce0,0x1a,0x4cb1,47,n,0x516a,1162,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x40c,0x6003,0x5dda,0x5ff4,15,l,0x60b7,180,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x410,0x2000,0x5f34,0x201a,26,n,0x2623,1571,SPAIN_S1\ROAD1A-TGA.GXI
0x414,0x7000,0x6073,0x7015,21,l,0x6fe7,25,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0x418,0x8c00,0x5fdc,0x8c16,22,n,0x8f62,866,\FMV\CHALL02.PSS
0x41c,0x4c00,0x5ebe,0x4bee,18,n,0x516a,1386,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x420,0xd400,0xe4c,0xd417,23,o,0xd0d4,812,FMV\INV1.PSS
0x424,0x2002,0x5fbe,0x201a,24,n,0x2623,1569,SPAIN_S1\ROAD1A-TGA.GXI
0x428,0xd400,0x225c,0xd417,23,o,0xd0d4,812,FMV\INV1.PSS
0x42c,0x1c06,0x6034,0x1c18,18,n,0x18b7,847,VEHICLES\MOONBUGGY\WHEEL.PSM
0x430,0xb400,0x5e61,0xb401,1,n,0xb3a5,91,HUD\PACENOTES.PSB
0x434,0xb000,0xb5d,0xb00d,13,l,0xaf03,253,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x438,0x4c64,0x602,0x4c71,13,l,0x516a,1286,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x43c,0x841c,0x60,0x840f,13,l,0x8150,716,S\PS2\OPTIONS.XML
0x440,0xed94,0x5d,0xeda6,18,l,0xf311,1405,FMV\ELF3.PSS
0x444,0x5cb4,0x605,0x5c88,44,l,0x60b7,1027,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x448,0x34ac,0x60,0x3485,39,l,0x34e6,58,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x44c,0xd798,0x5e,0xd7a5,13,l,0xd0d4,1732,FMV\INV1.PSS
0x450,0x4dc8,0x6825,0x4dbc,12,l,0x516a,930,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x458,0x6096,0x5800,0x6081,21,n,0x60b7,33,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x45c,0x5f44,0xdc00,0x5f5c,24,l,0x60b7,371,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x460,0x5ea2,0xd400,0x5e87,27,l,0x60b7,533,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x464,0x284e,0xad64,0x284f,1,n,0x2623,555,SPAIN_S1\ROAD1A-TGA.GXI
0x46c,0x1c07,0x6042,0x1c18,17,n,0x18b7,848,VEHICLES\MOONBUGGY\WHEEL.PSM
0x470,0xc000,0x5eca,0xbfe7,25,o,0xc003,3,SCREENS\PS2\RACERESULTS.XML
0x474,0x3000,0x5c52,0x3009,9,n,0x34e6,1254,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x47c,0x3c00,0x6074,0x3c03,3,l,0x396b,661,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x480,0xb400,0x55d,0xb401,1,n,0xb3a5,91,HUD\PACENOTES.PSB
0x484,0x5c4c,0xa18,0x5c4e,2,n,0x60b7,1131,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x488,0x36d8,0x5d,0x36b7,33,o,0x3605,211,S\PS2\RACEDETAILS2.XML
0x48c,0xbbc8,0x5c,0xbba7,33,l,0xbee5,797,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
