table_start_hex,table_end_hex,pair_count,target_min_hex,target_max_hex,control_values,semantic_sample
0x11a0,0x11a4,1,0x5246,0x5246,0x5664,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x11a4,0x11a8,1,0x4e03,0x4e03,0x5c44,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x11a8,0x11ac,1,0x454e,0x454e,0x9d57,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x11ac,0x11b0,1,0x5312,0x5312,0x95,FMV\FUJ3.PSS
0x11b0,0x11b4,1,0xb032,0xb032,0x314,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x11b4,0x11b8,1,0x3032,0x3032,0x305f,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x11b8,0x11bc,1,0x3530,0x3530,0x57cc,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x11bc,0x11c0,1,0xf905,0xf905,0xd279,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x11c0,0x11c4,1,0x3c47,0x3c47,0xd,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x11c4,0x11c8,1,0x6e00,0x6e00,0x3400,FMV\GO2.PSS
0x11c8,0x11cc,1,0x36b7,0x36b7,0x13c,S\PS2\RACEDETAILS2.XML
0x11cc,0x11d0,1,0x669c,0x669c,0x4102,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x11d0,0x11d4,1,0x4952,0x4952,0x4c41,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x11d8,0x11dc,1,0x8c5c,0x8c5c,0x401,\FMV\CHALL02.PSS
0x11dc,0x11e4,2,0x3030,0x315f,0x5f38;0x8430,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x11e8,0x11ec,1,0x412d,0x412d,0xcd3,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x11f0,0x11f4,1,0xe7f0,0xe7f0,0x1e35,HUD\HUD-NUMS.PSB
0x11f4,0x11f8,1,0x4301,0x4301,0x314f,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x11fc,0x1200,1,0x2950,0x2950,0x650,CUPS\CUP_FUJSEM.PSM
0x1204,0x1208,1,0xec45,0xec45,0x3e,FMV\ELF3.PSS
0x1208,0x120c,1,0x6e00,0x6e00,0x1400,FMV\GO2.PSS
0x120c,0x1210,1,0x37b2,0x37b2,0xaec,S\PS2\RACEDETAILS2.XML
0x1218,0x121c,1,0x454e,0x454e,0x2055,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x121c,0x1220,1,0x5244,0x5244,0x5259,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1220,0x1228,2,0x4153,0x434f,0x2d4b;0x444e,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1228,0x122c,1,0x522d,0x522d,0x5448,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x122c,0x1230,1,0x4829,0x4829,0x601,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1230,0x1234,1,0xc469,0xc469,0x2ae5,TANK\CAR.PSM
0x1234,0x1238,1,0xd13e,0xd13e,0x3f,FMV\INV1.PSS
0x1238,0x123c,1,0x6c00,0x6c00,0x2200,FMV\GO2.PSS
0x123c,0x1240,1,0x454c,0x454c,0x397c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1240,0x1244,1,0x2c2f,0x2c2f,0xcc07,CUPS\CUP_FUJSEM.PSM
0x1244,0x1248,1,0xae13,0xae13,0x3158,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x1248,0x124c,1,0x6d5c,0x6d5c,0x304e,FMV\GO2.PSS
0x124c,0x1250,1,0xb429,0xb429,0x508,HUD\PACENOTES.PSB
0x1250,0x1254,1,0xa276,0xa276,0x4742,VEHICLES\JUMP\WHEEL.PSM
0x1254,0x1258,1,0x2909,0x2909,0x0,CUPS\CUP_FUJSEM.PSM
0x125c,0x1260,1,0xec24,0xec24,0x362e,FMV\ELF3.PSS
0x126c,0x1270,1,0x4f47,0x4f47,0x5029,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1274,0x1278,1,0x473f,0x473f,0xf8e,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x127c,0x1284,2,0x3c2d,0x3d4c,0x101;0x4bc,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x1284,0x1288,1,0x5244,0x5244,0x4d55,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1288,0x128c,1,0x2427,0x2427,0x501,SPAIN_S1\ROAD1A-TGA.GXI
0x128c,0x1290,1,0x4dd8,0x4dd8,0x4521,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1290,0x1294,1,0x224c,0x224c,0x0,SPAIN_S1\ROAD1A-TGA.GXI
0x1298,0x129c,1,0xdc3c,0xdc3c,0x2b05,S\PS2\PROGRESS.XML
0x12a0,0x12a4,1,0x4548,0x4548,0x4b43,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x12a4,0x12a8,1,0x2753,0x2753,0x11c,SPAIN_S1\ROAD1A-TGA.GXI
0x12a8,0x12ac,1,0x7005,0x7005,0x9cfb,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0x12ac,0x12b0,1,0x9e46,0x9e46,0x33,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x12b0,0x12b4,1,0x6c00,0x6c00,0x7c00,FMV\GO2.PSS
0x12b4,0x12b8,1,0x3acd,0x3acd,0x48c,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x12bc,0x12c4,2,0x4142,0x425c,0x4749;0x4e52,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x12c8,0x12cc,1,0x6969,0x6969,0x374a,FMV\GO2.PSS
0x12cc,0x12d0,1,0x43ca,0x43ca,0x28d7,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x12d4,0x12e4,3,0x4cdc,0x4f4f,0x2946;0x3afc;0x525c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x12e8,0x12ec,1,0x5d50,0x5d50,0x3f58,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x12ec,0x12f0,1,0x2676,0x2676,0x0,SPAIN_S1\ROAD1A-TGA.GXI
0x12fc,0x1300,1,0x455c,0x455c,0x2b4c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1304,0x1308,1,0xcd74,0xcd74,0xa43d,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x130c,0x1310,1,0x7000,0x7000,0x377a,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0x1318,0x131c,1,0x5356,0x5356,0x5444,FMV\FUJ3.PSS
0x131c,0x1320,1,0x4304,0x4304,0x3645,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1320,0x1328,2,0x5834,0x5a98,0x3436;0x6906,HUD\HUD-TEMPLATE.PSB
0x1328,0x132c,1,0x2510,0x2510,0x42be,SPAIN_S1\ROAD1A-TGA.GXI
0x132c,0x1330,1,0x2098,0x2098,0x0,SPAIN_S1\ROAD1A-TGA.GXI
0x1334,0x1338,1,0x1c37,0x1c37,0x9c01,VEHICLES\MOONBUGGY\WHEEL.PSM
0x1338,0x133c,1,0x6c51,0x6c51,0xe63,FMV\GO2.PSS
0x133c,0x1340,1,0x5f59,0x5f59,0x3453,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x1340,0x1344,1,0x4d5c,0x4d5c,0x5452,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1344,0x1348,1,0x5552,0x5552,0x4b43,HUD\HUD-TEMPLATE.PSB
0x1348,0x134c,1,0x5220,0x5220,0x4c4f,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x134c,0x1350,1,0x294c,0x294c,0x1533,CUPS\CUP_FUJSEM.PSM
0x1350,0x1354,1,0xf780,0xf780,0x27e2,FMV\ELF3.PSS
0x1358,0x135c,1,0x3a20,0x3a20,0x46c,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x135c,0x1360,1,0x1afc,0x1afc,0x81bc,VEHICLES\MOONBUGGY\WHEEL.PSM
0x1360,0x1364,1,0x3c2c,0x3c2c,0x515,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x1364,0x1368,1,0xc8d9,0xc8d9,0x4603,TANK\CAR.PSM
0x1368,0x136c,1,0x3643,0x3643,0x0,S\PS2\RACEDETAILS2.XML
0x1370,0x1374,1,0xec24,0xec24,0x3c5c,FMV\ELF3.PSS
0x1378,0x137c,1,0x545c,0x545c,0x4e45,FMV\FUJ3.PSS
0x137c,0x1380,1,0x3254,0x3254,0x9229,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x1380,0x1384,1,0x2c05,0x2c05,0xac65,CUPS\CUP_FUJSEM.PSM
0x1384,0x1388,1,0x6c19,0x6c19,0x2210,FMV\GO2.PSS
0x1388,0x138c,1,0x49cc,0x49cc,0x9c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x138c,0x1390,1,0xcc2e,0xcc2e,0x651a,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x1390,0x1394,1,0x539b,0x539b,0x7dac,FMV\FUJ3.PSS
0x1394,0x1398,1,0x1b6c,0x1b6c,0x4909,VEHICLES\MOONBUGGY\WHEEL.PSM
0x139c,0x13a0,1,0x4684,0x4684,0xd348,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x13a4,0x13a8,1,0xb400,0xb400,0x3504,HUD\PACENOTES.PSB
0x13ac,0x13b0,1,0x4556,0x4556,0x4948,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x13b0,0x13b8,2,0x495c,0x4c43,0x4543;0x5345,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI | \TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x13b8,0x13bc,1,0x5243,0x5243,0x4145,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x13bc,0x13c0,1,0x5c4d,0x5c4d,0x4f43,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x13c0,0x13c4,1,0x504d,0x504d,0x454c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x13c4,0x13c8,1,0x4554,0x4554,0x502e,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x13c8,0x13cc,1,0x4d53,0x4d53,0x5000,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x13cc,0x13d0,1,0xbc98,0xbc98,0x6e06,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
0x13d0,0x13d4,1,0x9c0e,0x9c0e,0x2849,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x13d8,0x13dc,1,0x271d,0x271d,0x10c,SPAIN_S1\ROAD1A-TGA.GXI
0x13dc,0x13e0,1,0x530f,0x530f,0x4145,FMV\FUJ3.PSS
0x13e0,0x13e4,1,0x4254,0x4254,0x4755,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x13e4,0x13e8,1,0x5947,0x5947,0xec00,HUD\HUD-TEMPLATE.PSB
0x13e8,0x13ec,1,0xe960,0xe960,0x7e3f,HUD\HUD-NUMS.PSB
0x13f0,0x13f4,1,0x2200,0x2200,0x3a3c,SPAIN_S1\ROAD1A-TGA.GXI
0x13f8,0x13fc,1,0x7d03,0x7d03,0x5915,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x13fc,0x1400,1,0x5443,0x5443,0x5241,FMV\FUJ3.PSS
0x1400,0x1404,1,0x274b,0x274b,0x3d6,SPAIN_S1\ROAD1A-TGA.GXI
0x1404,0x1408,1,0xce90,0xce90,0x63bc,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x140c,0x1410,1,0x2c28,0x2c28,0x2b00,CUPS\CUP_FUJSEM.PSM
0x1414,0x1418,1,0x494d,0x494d,0x4353,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1418,0x141c,1,0x4f5c,0x4f5c,0x4a42,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x141c,0x1420,1,0x4345,0x4345,0x5354,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1420,0x1424,1,0x545c,0x545c,0x4d55,FMV\FUJ3.PSS
0x1424,0x1428,1,0x4c42,0x4c42,0x5745,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1428,0x142c,1,0x4545,0x4545,0x7c44,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1430,0x1434,1,0x3f09,0x3f09,0xa3b,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x143c,0x1440,1,0xfc36,0xfc36,0xdc01,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x1444,0x1448,1,0x415c,0x415c,0x554c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1448,0x144c,1,0x494d,0x494d,0x494e,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x144c,0x1450,1,0xcc29,0xcc29,0x50e,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x1450,0x1454,1,0x9fce,0x9fce,0x3dcb,VEHICLES\JUMP\WHEEL.PSM
0x1460,0x1464,1,0x2b01,0x2b01,0xa6c,CUPS\CUP_FUJSEM.PSM
0x1464,0x146c,2,0x4304,0x4455,0x3653;0x4f4c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x146c,0x1470,1,0x2c27,0x2c27,0x503,CUPS\CUP_FUJSEM.PSM
0x1470,0x1474,1,0xa339,0xa339,0x3fe2,VEHICLES\JUMP\WHEEL.PSM
0x1474,0x1478,1,0x1838,0x1838,0x0,VEHICLES\MOONBUGGY\WHEEL.PSM
0x147c,0x1480,1,0x28ac,0x28ac,0xc31,CUPS\CUP_FUJSEM.PSM
0x1480,0x1484,1,0x9c01,0x9c01,0xcc52,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x1484,0x1488,1,0x2511,0x2511,0x21d0,SPAIN_S1\ROAD1A-TGA.GXI
0x1488,0x148c,1,0x53f0,0x53f0,0xe264,FMV\FUJ3.PSS
0x148c,0x149c,3,0x4252,0x4402,0x3293;0x4c27;0x4f4f,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x14a0,0x14a4,1,0x2520,0x2520,0x250c,SPAIN_S1\ROAD1A-TGA.GXI
0x14a4,0x14a8,1,0x4c36,0x4c36,0x2801,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x14ac,0x14b0,1,0x9829,0x9829,0x614,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x14b0,0x14b4,1,0x3b69,0x3b69,0xf74a,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x14b8,0x14bc,1,0x6e00,0x6e00,0x8400,FMV\GO2.PSS
0x14bc,0x14c0,1,0xbce3,0xbce3,0x23eb,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
0x14c0,0x14c4,1,0x242c,0x242c,0x460c,SPAIN_S1\ROAD1A-TGA.GXI
0x14c4,0x14c8,1,0x564d,0x564d,0x435c,HUD\HUD-TEMPLATE.PSB
0x14c8,0x14cc,1,0x4148,0x4148,0x4c4c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x14cc,0x14d0,1,0x3730,0x3730,0x502e,S\PS2\RACEDETAILS2.XML
0x14d0,0x14d4,1,0x5353,0x5353,0x297c,FMV\FUJ3.PSS
0x14d4,0x14d8,1,0x4305,0x4305,0xed8a,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x14dc,0x14e0,1,0x6e00,0x6e00,0x800,FMV\GO2.PSS
0x14e0,0x14e4,1,0xbc88,0xbc88,0x2720,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
0x14e8,0x14ec,1,0x3830,0x3830,0x5d0,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x14ec,0x14f0,1,0x2a05,0x2a05,0x9c48,CUPS\CUP_FUJSEM.PSM
0x14f0,0x14f8,2,0x6d40,0x6e00,0x9c00;0xf,FMV\GO2.PSS
0x14f8,0x14fc,1,0xbc1a,0xbc1a,0x360a,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
0x1500,0x1504,1,0x5c33,0x5c33,0x3823,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x1504,0x1508,1,0x2723,0x2723,0x370,SPAIN_S1\ROAD1A-TGA.GXI
0x1508,0x150c,1,0xfd5e,0xfd5e,0xe8c,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x1510,0x1514,1,0x8e24,0x8e24,0x26ac,\FMV\CHALL02.PSS
0x1518,0x151c,1,0xdc07,0xdc07,0xbec0,S\PS2\PROGRESS.XML
0x151c,0x1520,1,0x531b,0x531b,0x7e31,FMV\FUJ3.PSS
0x1520,0x1524,1,0x6c14,0x6c14,0x28e3,FMV\GO2.PSS
0x1528,0x152c,1,0x2c28,0x2c28,0x3900,CUPS\CUP_FUJSEM.PSM
0x1534,0x1538,1,0x3f96,0x3f96,0x4c22,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1538,0x153c,1,0x6e28,0x6e28,0x7c00,FMV\GO2.PSS
0x153c,0x1540,1,0xbc97,0xbc97,0x9c06,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
0x1540,0x1544,1,0x2a1b,0x2a1b,0x2a4c,CUPS\CUP_FUJSEM.PSM
0x1548,0x154c,1,0x465c,0x465c,0x235f,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x154c,0x1550,1,0x2836,0x2836,0x325f,SPAIN_S1\ROAD1A-TGA.GXI
0x1554,0x1558,1,0x4c45,0x4c45,0x285f,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1558,0x155c,1,0x29a4,0x29a4,0xf605,CUPS\CUP_FUJSEM.PSM
0x155c,0x1560,1,0xf0b9,0xf0b9,0xd646,FMV\ELF3.PSS
0x1568,0x156c,1,0x3617,0x3617,0x40c,S\PS2\RACEDETAILS2.XML
0x156c,0x1570,1,0xb4ec,0xb4ec,0x3203,HUD\PACENOTES.PSB
0x1570,0x1574,1,0x445c,0x445c,0x5952,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1574,0x1578,1,0x704c,0x704c,0x28e2,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0x1578,0x157c,1,0x2abc,0x2abc,0xdb05,CUPS\CUP_FUJSEM.PSM
0x157c,0x1580,1,0xa1c1,0xa1c1,0xed48,VEHICLES\JUMP\WHEEL.PSM
0x1584,0x1588,1,0x7000,0x7000,0x35ae,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0x1590,0x1594,1,0x4c4f,0x4c4f,0x4144,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1594,0x1598,1,0x444e,0x444e,0x29bc,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1598,0x159c,1,0x7880,0x7880,0x6908,FMV\MICROIDS.PSS
0x159c,0x15a0,1,0x6969,0x6969,0x2787,FMV\GO2.PSS
0x15a0,0x15a4,1,0x47ed,0x47ed,0xbb2,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x15a8,0x15ac,1,0x6b04,0x6b04,0x1bac,FMV\GO2.PSS
0x15ac,0x15b0,1,0x2c2f,0x2c2f,0x3602,CUPS\CUP_FUJSEM.PSM
0x15b0,0x15b8,2,0x221d,0x2238,0x2432;0x3202,SPAIN_S1\ROAD1A-TGA.GXI
0x15b8,0x15bc,1,0x305f,0x305f,0x3230,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x15bc,0x15c0,1,0xacb8,0xacb8,0x6906,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x15c0,0x15c4,1,0x78d3,0x78d3,0x3dc7,FMV\MICROIDS.PSS
0x15c4,0x15c8,1,0x33a4,0x33a4,0x0,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x15cc,0x15d0,1,0x7c35,0x7c35,0x2f32,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x15d8,0x15dc,1,0x5645,0x5645,0x4f42,HUD\HUD-TEMPLATE.PSB
0x15dc,0x15e0,1,0xf428,0xf428,0x519,FMV\ELF3.PSS
0x15e0,0x15e4,1,0x88a3,0x88a3,0x47fd,\FMV\CHALL02.PSS
0x15e4,0x15e8,1,0x3001,0x3001,0x0,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x15ec,0x15f0,1,0x7c35,0x7c35,0x2b04,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x15f4,0x15f8,1,0x5449,0x5449,0x454c,FMV\FUJ3.PSS
0x15f8,0x15fc,1,0x4353,0x4353,0x4552,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x15fc,0x1600,1,0x4e45,0x4e45,0x425c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1600,0x1608,2,0x5f01,0x5f47,0x198;0x3130,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x1608,0x160c,1,0xb036,0xb036,0x512,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x160c,0x1610,1,0xdac7,0xdac7,0x423c,S\PS2\PROGRESS.XML
0x1610,0x1614,1,0x3deb,0x3deb,0x0,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x1618,0x161c,1,0x8c35,0x8c35,0xdc03,\FMV\CHALL02.PSS
0x161c,0x1620,1,0x8f37,0x8f37,0x5f4e,\FMV\CHALL02.PSS
0x1620,0x1624,1,0x3353,0x3353,0xb5bc,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x1624,0x1628,1,0xfc26,0xfc26,0x2826,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x162c,0x1630,1,0xcf2e,0xcf2e,0xf13d,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x1634,0x1638,1,0x1c00,0x1c00,0x37d8,VEHICLES\MOONBUGGY\WHEEL.PSM
0x1640,0x1644,1,0x4552,0x4552,0x5453,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1644,0x1648,1,0x5254,0x5254,0x4145,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1648,0x164c,1,0x2744,0x2744,0x120,SPAIN_S1\ROAD1A-TGA.GXI
0x164c,0x1650,1,0x1805,0x1805,0xa29b,\TNG\DATAPSM\COURSE\ITALY1\WALL_02-TGA.GXI
0x1650,0x1654,1,0x913f,0x913f,0x3e,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x1654,0x1658,1,0x6e00,0x6e00,0x2c00,FMV\GO2.PSS
0x1658,0x165c,1,0x3548,0x3548,0x6ec,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x1664,0x1668,1,0x4549,0x4549,0x444c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1668,0x166c,1,0xc028,0xc028,0x5c1f,SCREENS\PS2\RACERESULTS.XML
0x1670,0x1674,1,0x47d0,0x47d0,0xd0b,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1678,0x167c,1,0x3c05,0x3c05,0x5d26,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x1680,0x1684,1,0x2f00,0x2f00,0x5cc,CUPS\CUP_FUJSEM.PSM
0x168c,0x1690,1,0x5f36,0x5f36,0x3030,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x1690,0x1694,1,0xa833,0xa833,0x624,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x1694,0x1698,1,0x7e69,0x7e69,0xc2ce,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x169c,0x16a0,1,0x6e00,0x6e00,0x8c00,FMV\GO2.PSS
0x16a0,0x16a4,1,0x37f1,0x37f1,0x35c,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x16a4,0x16a8,1,0x909c,0x909c,0x24ac,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x16a8,0x16ac,1,0x5703,0x5703,0x5c31,HUD\HUD-TEMPLATE.PSB
0x16ac,0x16b0,1,0x4148,0x4148,0x2759,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x16b4,0x16b8,1,0x6969,0x6969,0xef86,FMV\GO2.PSS
0x16b8,0x16bc,1,0x4572,0x4572,0x3da9,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x16c0,0x16c4,1,0xcd94,0xcd94,0x320,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x16c4,0x16c8,1,0x1b3c,0x1b3c,0x3105,VEHICLES\MOONBUGGY\WHEEL.PSM
0x16c8,0x16d0,2,0x4f5f,0x525c,0x2846;0x4e55,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x16d0,0x16d4,1,0x1fc8,0x1fc8,0xf305,SPAIN_S1\ROAD1A-TGA.GXI
0x16d4,0x16d8,1,0xfaad,0xfaad,0x4f47,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x16dc,0x16e0,1,0x5400,0x5400,0x420,FMV\FUJ3.PSS
0x16e4,0x16e8,1,0xec2f,0xec2f,0xe007,FMV\ELF3.PSS
0x16ec,0x16f0,1,0x46fa,0x46fa,0x2079,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x16f4,0x16f8,1,0x1aa0,0x1aa0,0x5c3c,VEHICLES\MOONBUGGY\WHEEL.PSM
0x16f8,0x16fc,1,0x2803,0x2803,0xdac,SPAIN_S1\ROAD1A-TGA.GXI
0x16fc,0x1700,1,0x5301,0x5301,0x4554,FMV\FUJ3.PSS
0x1700,0x1704,1,0x2845,0x2845,0xebc,SPAIN_S1\ROAD1A-TGA.GXI
0x1704,0x1708,1,0xe805,0xe805,0xe293,HUD\HUD-NUMS.PSB
0x1708,0x170c,1,0xdf3d,0xdf3d,0xd,S\PS2\PROGRESS.XML
0x170c,0x1710,1,0x6e00,0x6e00,0xbc00,FMV\GO2.PSS
0x1710,0x1714,1,0x3798,0x3798,0x6ac,S\PS2\RACEDETAILS2.XML
0x1714,0x1718,1,0xcc2b,0xcc2b,0x707,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x1718,0x171c,1,0x4d52,0x4d52,0x4753,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
