table_start_hex,table_end_hex,pair_count,target_min_hex,target_max_hex,control_values,semantic_sample
0x7d4,0x7d8,1,0x1e4c,0x1e4c,0xdc02,VEHICLES\MOONBUGGY\WHEEL.PSM
0x7d8,0x7dc,1,0x5d49,0x5d49,0xa400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x7e0,0x7e4,1,0xf24c,0xf24c,0x260a,FMV\ELF3.PSS
0x7f0,0x7f4,1,0x7c4c,0x7c4c,0xd7c,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x7f8,0x800,2,0x5d79,0x6048,0x3c00;0x400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x800,0x804,1,0x4c74,0x4c74,0x567,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x804,0x814,3,0x5eb3,0x6014,0x4ce2;0xc400;0xe800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x818,0x81c,1,0x9000,0x9000,0x114e,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x81c,0x820,1,0x772c,0x772c,0xfc4e,FMV\MICROIDS.PSS
0x820,0x824,1,0x5d4a,0x5d4a,0x169c,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x824,0x828,1,0x2007,0x2007,0x5dab,SPAIN_S1\ROAD1A-TGA.GXI
0x828,0x82c,1,0x5c00,0x5c00,0x5e37,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x82c,0x830,1,0x6800,0x6800,0x4c77,FMV\GO2.PSS
0x850,0x86c,7,0x5dab,0x6088,0x1400;0x3800;0x3c00;0x6000;0xa400;0xb400;0xf400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x878,0x87c,1,0x7c02,0x7c02,0x6048,FMV\MICROIDS.PSS
0x888,0x88c,1,0xd009,0xd009,0x84d,FMV\INV1.PSS
0x88c,0x890,1,0x4dd8,0x4dd8,0xfc0f,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x894,0x8b0,6,0x5edb,0x609a,0x3c00;0x4c00;0x6800;0x8800;0xa400;0xb000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x8b4,0x8b8,1,0xa00e,0xa00e,0x74c,VEHICLES\JUMP\WHEEL.PSM
0x8d8,0x8f4,6,0x5dc3,0x5fc2,0x2400;0x3000;0x39fa;0xe000;0xe400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x8f4,0x8f8,1,0x565c,0x565c,0x4b02,HUD\HUD-TEMPLATE.PSB
0x8fc,0x900,1,0xfe4d,0xfe4d,0x4c9b,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x900,0x904,1,0x4d86,0x4d86,0x9000,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x908,0x90c,1,0x5d7b,0x5d7b,0xb000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x910,0x914,1,0x6089,0x6089,0xd400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x914,0x918,1,0x5c78,0x5c78,0x9f5,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x918,0x934,5,0x5f29,0x6079,0x1400;0x6000;0x8000;0xb000;0xc000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x934,0x938,1,0x4c79,0x4c79,0x4ddb,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x938,0x93c,1,0x8819,0x8819,0x54c,S\PS2\OPTIONS.XML
0x93c,0x940,1,0xec02,0xec02,0x6015,FMV\ELF3.PSS
0x940,0x944,1,0xd400,0xd400,0x2a5d,FMV\INV1.PSS
