start,end,size,shape,tags,count,mirror_partner,is_mirrored,is_canonical,mirror_exact
60302094,60302099,5,mixed,BX91,1,466054657.0,True,True,True
60311813,60311818,5,mixed,BX91,1,466064376.0,True,True,True
60334157,60334162,5,mixed,BX91,1,466086720.0,True,True,True
60344107,60344112,5,mixed,BX91,1,466096670.0,True,True,True
60401314,60401351,37,mixed,BX*Hd|BX91,2,466153877.0,True,True,True
60410818,60410858,40,mixed,BX*Hd|BX91,2,466163381.0,True,True,True
60431904,60431909,5,mixed,BX*Hd,1,466184467.0,True,True,True
60440830,60440835,5,mixed,BX*Hd,1,466193393.0,True,True,True
60461941,60461946,5,mixed,BX91,1,466214504.0,True,True,True
60471767,60471772,5,mixed,BX91,1,466224330.0,True,True,True
60528171,60528205,34,mixed,BX*Hd|BX91,2,466280734.0,True,True,True
60557725,60557730,5,mixed,BX*Hd,1,466310288.0,True,True,True
60652853,60652858,5,mixed,BX*Hd,1,466405416.0,True,True,True
60661922,60661927,5,mixed,BX*Hd,1,466414485.0,True,True,True
60711117,60711122,5,mixed,BX91,1,466463680.0,True,True,True
60719507,60719512,5,mixed,BX91,1,466472070.0,True,True,True
60787563,60787601,38,mixed,BX*Hd|BX91,2,466540126.0,True,True,True
60795404,60795442,38,mixed,BX*Hd|BX91,2,466547967.0,True,True,True
60813564,60813601,37,mixed,BX*Hd|BX91,2,466566127.0,True,True,True
60839086,60839124,38,mixed,BX*Hd|BX91,2,466591649.0,True,True,True
60846756,60846793,37,mixed,BX*Hd|BX91,2,466599319.0,True,True,True
60897090,60897128,38,mixed,BX*Hd|BX91,2,466649653.0,True,True,True
60904881,60904921,40,mixed,BX*Hd|BX91,2,466657444.0,True,True,True
60924317,60924355,38,mixed,BX*Hd|BX91,2,466676880.0,True,True,True
60932781,60932819,38,mixed,BX*Hd|BX91,2,466685344.0,True,True,True
60953243,60953280,37,mixed,BX*Hd|BX91,2,466705806.0,True,True,True
60962047,60962084,37,mixed,BX*Hd|BX91,2,466714610.0,True,True,True
61014905,61014910,5,mixed,BX91,1,466767468.0,True,True,True
61022640,61022645,5,mixed,BX91,1,466775203.0,True,True,True
61041581,61041586,5,mixed,BX91,1,466794144.0,True,True,True
61127210,61127215,5,mixed,BX91,1,466879773.0,True,True,True
61163040,61163045,5,mixed,BX*Hd,1,466915603.0,True,True,True
61182794,61182799,5,mixed,BX91,1,466935357.0,True,True,True
61255503,61255508,5,mixed,BXT,1,467008066.0,True,True,True
61275945,61275950,5,mixed,BX91,1,467028508.0,True,True,True
61361033,61361038,5,mixed,BX91,1,467113596.0,True,True,True
61380606,61380611,5,mixed,BX91,1,467133169.0,True,True,True
61409844,61409849,5,mixed,BX*Hd,1,467162407.0,True,True,True
61475131,61475136,5,mixed,BX91,1,467227694.0,True,True,True
61482845,61482850,5,mixed,BX91,1,467235408.0,True,True,True
61502183,61502188,5,mixed,BX91,1,467254746.0,True,True,True
61509886,61509891,5,mixed,BX91,1,467262449.0,True,True,True
61529048,61529053,5,mixed,BX91,1,467281611.0,True,True,True
61588128,61588163,35,mixed,BX*Hd|BX91,2,467340691.0,True,True,True
61595572,61595606,34,mixed,BX*Hd|BX91,2,467348135.0,True,True,True
61613425,61613461,36,mixed,BX*Hd|BX91,2,467365988.0,True,True,True
61621332,61621370,38,mixed,BX*Hd|BX91,2,467373895.0,True,True,True
61639984,61640022,38,mixed,BX*Hd|BX91,2,467392547.0,True,True,True
61647119,61647163,44,mixed,BX*Hd|BX91,2,467399682.0,True,True,True
61698262,61698267,5,mixed,BX91,1,467450825.0,True,True,True
61705743,61705748,5,mixed,BX91,1,467458306.0,True,True,True
61723846,61723851,5,mixed,BX91,1,467476409.0,True,True,True
61731474,61731479,5,mixed,BX91,1,467484037.0,True,True,True
61748911,61748916,5,mixed,BX91,1,467501474.0,True,True,True
61805703,61805708,5,mixed,BX91,1,467558266.0,True,True,True
61813180,61813185,5,mixed,BX91,1,467565743.0,True,True,True
61831872,61831877,5,mixed,BX91,1,467584435.0,True,True,True
61839278,61839283,5,mixed,BX91,1,467591841.0,True,True,True
61857177,61857182,5,mixed,BX91,1,467609740.0,True,True,True
61865112,61865117,5,mixed,BX91,1,467617675.0,True,True,True
61914066,61914071,5,mixed,BX91,1,467666629.0,True,True,True
61921313,61921318,5,mixed,BX91,1,467673876.0,True,True,True
61938828,61938864,36,mixed,BX*Hd|BX91,2,467691391.0,True,True,True
61945913,61945948,35,mixed,BX*Hd|BX91,2,467698476.0,True,True,True
61962789,61962830,41,mixed,BX*Hd|BX91,2,467715352.0,True,True,True
61969723,61969758,35,mixed,BX*Hd|BX91,2,467722286.0,True,True,True
62015532,62015567,35,mixed,BX*Hd|BX91,2,467768095.0,True,True,True
62039485,62039490,5,mixed,BX91,1,467792048.0,True,True,True
62064690,62064695,5,mixed,BX91,1,467817253.0,True,True,True
62072852,62072857,5,mixed,BX91,1,467825415.0,True,True,True
62121306,62121311,5,mixed,BX*Hd,1,467873869.0,True,True,True
62127717,62127722,5,mixed,BX91,1,467880280.0,True,True,True
62144998,62145003,5,mixed,BX*Hd,1,467897561.0,True,True,True
62151665,62151708,43,mixed,BX*Hd|BX91,2,467904228.0,True,True,True
62170656,62170694,38,mixed,BX*Hd|BX91,2,467923219.0,True,True,True
62234316,62234321,5,mixed,BX91,1,467986879.0,True,True,True
62275021,62275026,5,mixed,BX91,1,468027584.0,True,True,True
62364487,62364492,5,mixed,BX*Hd,1,468117050.0,True,True,True
62504249,62504254,5,mixed,BX91,1,468256812.0,True,True,True
62514330,62514335,5,mixed,BX91,1,468266893.0,True,True,True
62567486,62567491,5,mixed,BXT,1,468320049.0,True,True,True
62608923,62608928,5,mixed,BXQ,1,468361486.0,True,True,True
62637043,62637048,5,mixed,BX91,1,468389606.0,True,True,True
62646978,62646983,5,mixed,BX91,1,468399541.0,True,True,True
62670556,62670561,5,mixed,BX91,1,468423119.0,True,True,True
62680442,62680447,5,mixed,BX91,1,468433005.0,True,True,True
62703880,62703885,5,mixed,BX91,1,468456443.0,True,True,True
62773878,62773883,5,mixed,BX91,1,468526441.0,True,True,True
62783842,62783847,5,mixed,BX91,1,468536405.0,True,True,True
62805623,62805628,5,mixed,BX91,1,468558186.0,True,True,True
62814890,62814895,5,mixed,BX91,1,468567453.0,True,True,True
62836048,62836053,5,mixed,BX91,1,468588611.0,True,True,True
62911105,62911110,5,mixed,BX*Hd,1,468663668.0,True,True,True
62965454,62965459,5,mixed,BX*Hd,1,468718017.0,True,True,True
62974680,62974717,37,mixed,BX*Hd|BX91,2,468727243.0,True,True,True
63038884,63038889,5,mixed,BX91,1,468791447.0,True,True,True
63058907,63058912,5,mixed,BX91,1,468811470.0,True,True,True
63243774,63243779,5,mixed,BX91,1,468996337.0,True,True,True
63251285,63251290,5,mixed,BX91,1,469003848.0,True,True,True
63292803,63292808,5,mixed,BX91,1,469045366.0,True,True,True
63299160,63299165,5,mixed,BX91,1,469051723.0,True,True,True
63345223,63345261,38,mixed,BX*Hd|BX91,2,469097786.0,True,True,True
63371157,63371198,41,mixed,BX*Hd|BX91,2,469123720.0,True,True,True
63378953,63378997,44,mixed,BX*Hd|BX91,2,469131516.0,True,True,True
63398637,63398674,37,mixed,BX*Hd|BXQ,2,469151200.0,True,True,True
63407347,63407386,39,mixed,BX*Hd|BX91,2,469159910.0,True,True,True
63463032,63463037,5,mixed,BX91,1,469215595.0,True,True,True
63472483,63472488,5,mixed,BXQ,1,469225046.0,True,True,True
63493730,63493735,5,mixed,BX91,1,469246293.0,True,True,True
63582227,63582232,5,mixed,BX91,1,469334790.0,True,True,True
63589760,63589796,36,mixed,BX*Hd|BX91,2,469342323.0,True,True,True
63608954,63608991,37,mixed,BX*Hd|BX91,2,469361517.0,True,True,True
63636415,63636452,37,mixed,BX*Hd|BX91,2,469388978.0,True,True,True
63644428,63644467,39,mixed,BX*Hd|BX91,2,469396991.0,True,True,True
63732191,63732196,5,mixed,BX*Hd,1,469484754.0,True,True,True
63741938,63741943,5,mixed,BX*Hd,1,469494501.0,True,True,True
63835586,63835591,5,mixed,BX91,1,469588149.0,True,True,True
63845225,63845262,37,mixed,BX*Hd|BX91,2,469597788.0,True,True,True
63895439,63895444,5,mixed,BX91,1,469648002.0,True,True,True
63903889,63903894,5,mixed,BX91,1,469656452.0,True,True,True
63955247,63955252,5,mixed,BX91,1,469707810.0,True,True,True
63982525,63982530,5,mixed,BX91,1,469735088.0,True,True,True
63990490,63990495,5,mixed,BX91,1,469743053.0,True,True,True
64010836,64010841,5,mixed,BX91,1,469763399.0,True,True,True
64018828,64018833,5,mixed,BX91,1,469771391.0,True,True,True
64068823,64068828,5,mixed,BX91,1,469821386.0,True,True,True
64075850,64075855,5,mixed,BX91,1,469828413.0,True,True,True
64177272,64177277,5,mixed,BX91,1,469929835.0,True,True,True
64184681,64184686,5,mixed,BX91,1,469937244.0,True,True,True
64202644,64202649,5,mixed,BX91,1,469955207.0,True,True,True
64210171,64210176,5,mixed,BX91,1,469962734.0,True,True,True
64227784,64227789,5,mixed,BX91,1,469980347.0,True,True,True
64235626,64235631,5,mixed,BX91,1,469988189.0,True,True,True
64284241,64284246,5,mixed,BX*Hd,1,470036804.0,True,True,True
64309952,64309992,40,mixed,BX*Hd|BX91,2,470062515.0,True,True,True
64317873,64317915,42,mixed,BX*Hd|BX91,2,470070436.0,True,True,True
64338176,64338181,5,mixed,BX*Hd,1,470090739.0,True,True,True
64346555,64346560,5,mixed,BX*Hd,1,470099118.0,True,True,True
64403336,64403341,5,mixed,BX91,1,470155899.0,True,True,True
64435944,64435949,5,mixed,BX91,1,470188507.0,True,True,True
64446462,64446467,5,mixed,BX91,1,470199025.0,True,True,True
64572762,64572767,5,mixed,BX91,1,470325325.0,True,True,True
64582430,64582435,5,mixed,BX91,1,470334993.0,True,True,True
64604549,64604554,5,mixed,BX91,1,470357112.0,True,True,True
64614098,64614103,5,mixed,BX91,1,470366661.0,True,True,True
64670132,64670186,54,mixed,BX*Hd|BX91,2,470422695.0,True,True,True
64727619,64727624,5,mixed,BX91,1,470480182.0,True,True,True
64788560,64788603,43,mixed,BX*Hd|BX91,2,470541123.0,True,True,True
