offset,sig8,body_prefix,pos_008,pos_014,pos_01c,pos_020,pos_024,pos_028,pos_088,pos_094,pos_0a4
594835425,0000010c43fc7f92,c90f,1844711369,3728111459,3084577344,4244232156,442121583,131616745,2944101903,2800107633,16304382
595459818,0000010c43fc7f92,c90f,1175064521,3688787468,3029674439,4088380271,3027951352,2963264053,4201498146,929226426,4293152803
595544621,0000010c43fc7f92,c90f,1844711369,3161320902,937085588,4244232157,442121583,131616745,3988089248,126278610,1848770712
595624158,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2146270627,3589523103,4254379681,3083778481,1798812986,2178166025
595939204,0000010c43fc7f92,c90f,2381320137,3732305507,937093696,4244232158,442121583,131616745,316838882,2074562159,1873083516
596341749,0000010c43fc7f92,c909,3662154185,3688598977,1756038089,3881794527,1760935153,1614783851,1976413528,3721718464,2356037960
596504903,0000010c43fc7f92,c90f,1175064521,1836529414,2746027556,2675953021,1135339461,469444957,1278730859,588445262,3492769700
596570442,0000010c43fc7f92,c90f,1175064521,3731754214,1528645742,4292541254,2884078911,4213792067,947086297,3081360769,1239257744
596721974,0000010c43fc7f92,c90f,1175064521,3714976998,1443336795,3219570385,3933856719,2118834128,2335389590,2849992022,1384037933
597090582,0000010c43fc7f92,c90f,1175064521,1836005126,2746027556,2675957117,2715153350,2164102318,3739404717,2002496259,1320625188
597242894,0000010c43fc7f92,c909,3662154185,3740694115,937093696,4244232157,442121583,131616745,3121738710,2444261242,2121868261
598058724,0000010c43fc7f92,c90f,1175064521,2075865496,2903383223,2146270627,2884093343,4213792067,3167064859,3148469633,1454842916
598155649,0000010c43fc7f92,c909,3662154185,2044451725,2377527845,4293146103,2253836171,32920506,1876783715,901491157,4236537417
598602083,0000010c43fc7f8b,243f,918699812,1872476977,460158240,2118053870,2253836251,32920506,616833141,3182677981,4234959634
598968812,0000010c43fc7f92,cc87,922388428,3083722008,3512076178,1341324990,3027951352,2963264053,3314752411,3983436302,2178297097
599144786,0000010c43fc7f92,cc87,922388428,3161321158,1874187649,4176719799,901020382,263233490,4244429912,1400086712,8152191
599886687,0000010c43fc7f92,c90f,1175064521,3688787468,3029674439,4088380271,3027951352,2963264053,578052530,3135620786,588445314
599968697,0000010c43fc7f92,c90f,1844711369,3161320902,937085588,4244232157,442121583,131616745,3121738710,2444261242,1117809630
600043895,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2146270627,3589523103,4254379681,3083778481,1798812986,2178166025
600389769,0000010c43fc7f92,c90f,2381320137,3732305507,937093696,4244232158,442121583,131616745,316838882,2074562159,1873083516
600843403,0000010c43fc7f92,c909,3662154185,3688598977,1756038089,3881794527,1760935153,1614783851,1976413528,3721718464,2356037960
600910805,0000010c43fc7f92,c90f,1175064521,3688787468,3029674441,4088379759,3027951352,2980041269,1216892906,3627775419,3729324313
889243553,0000010c43fc7fb7,4202,756548162,2679448876,1459386539,4061913076,3047639987,3174934649,1297193701,3360747113,1563150943
909068465,0000010c43fc7ff1,c4b6,554874564,3353072161,1539545714,1493198463,260112347,2600116872,1831230230,10002419,1742681935
912328481,0000010c43fc7ff1,c4b6,554874564,3353072161,1539545714,1493198463,260112347,2600116872,1831230230,10002419,1742681935
916451575,0000010c43fc7ff1,c4b6,554874564,3353072161,1539545714,1493198463,260112347,2600116872,1831230230,10002419,1742681935
993542360,0000010c43fc7f92,c90f,1844711369,1932846390,2639511409,3933807514,2118834128,412992966,3695769517,613152257,1839287474
994297561,0000010c43fc7f92,c900,3617980617,2698853097,3618234200,2053045497,2681353652,552776369,4203598205,486595591,323739580
994459643,0000010c43fc7fc2,cc87,1190692812,1406242063,3979816527,921838767,3164722679,1036025418,4165553919,742381642,1208352799
994615137,0000010c43fc7fc2,cc87,922388428,366811260,2378912695,2665774587,1760935238,2963214959,3089722422,2838347897,2688332435
995794148,0000010c43fc7f92,c900,3685089481,1839426657,2044448703,1255657706,2731001470,870113161,3800600702,294798563,2629193814
996729118,0000010c43fc7f92,c90f,1175064521,1836529414,2746027556,2675953021,1135339461,469444957,1278730859,588445262,3492769700
996812020,0000010c43fc7f92,c90f,1175064521,3731754214,1528645742,4292541254,2884078911,4213792067,947086297,3081360769,1239257744
996975378,0000010c43fc7f92,c90f,1175064521,3714976998,1443336795,3219570385,3933856719,2118834128,2335389590,2849992022,1384037933
997314016,0000010c43fc7f92,c90f,1175064521,1836005126,2746027556,2675957117,2715153350,2164102318,3739404717,2002496259,1320625188
997394035,0000010c43fc7f92,c90f,1175064521,2075865496,1453728951,3220094673,3933856719,2118834128,1858387317,619451552,795845884
997477237,0000010c43fc7f92,c909,3662154185,3740694115,937093696,4244232157,442121583,131616745,3121738710,2444261242,2121868261
997562700,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2147319203,3589523103,4254379681,2045484059,3664598535,3488192132
998309937,0000010c43fc7f92,c90f,1175064521,2075865496,2903383223,2146270627,2884093343,4213792067,2045482011,2001971971,2758691144
998402605,0000010c43fc7f92,c909,3662154185,2044451725,3758161920,8649231,4294967050,4294967295,2086304054,3921595736,3082196974
998772872,0000010c43fc7f92,c90f,1175064521,1836475376,3512108516,1341324990,1760935158,1614783851,1542970538,1840732569,1605772577
998860844,0000010c43fc7f8b,243f,3067166500,2044451981,937093696,4266254046,2253836251,32920506,1909537508,3965925301,1800094260
999366565,0000010c43fc7f92,c90f,1844711369,3728111459,3084577344,4244232156,442121583,131616745,2944101903,2800107633,16304382
999427869,0000010c43fc7f92,c900,3685089481,3690360332,1756038089,2943974367,3036339960,2980041269,3448595867,1511860334,1262629376
999987090,0000010c43fc7f92,c90f,1175064521,3688787468,3029674439,4088380271,3027951352,2963264053,1658764005,4135779037,455672724
1000071455,0000010c43fc7f92,c90f,1844711369,3161320902,937085588,4244232157,442121583,131616745,3121738710,2444261242,1117809630
1000150286,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2146270627,3589523103,4254379681,3083778481,1798812986,2178166025
1000462723,0000010c43fc7f92,c90f,2381320137,3732305507,937093696,4244232158,442121583,131616745,316838882,2074562159,1873083516
1000861877,0000010c43fc7f92,c909,3662154185,3688598977,1756038089,3881794527,1760935153,1614783851,1976413528,3721718464,2356037960
1000949087,0000010c43fc7f92,c90f,1175064521,3688787468,3029674441,4088379759,3027951352,2980041269,1216892906,3627775419,3729324313
1001030062,0000010c43fc7f92,c90f,1175064521,1836529414,2746027556,2675953021,1135339461,469444957,1278730859,588445262,3492769700
1001095147,0000010c43fc7f92,c90f,1175064521,3731754214,1528645742,4292541254,2884078911,4213792067,947086297,3081360769,1239257744
1001245431,0000010c43fc7f92,c90f,1175064521,3714976998,1443336795,3219570385,3933856719,2118834128,2335389590,2849992022,1384037933
1001611489,0000010c43fc7f92,c90f,1175064521,1836005126,2746027556,2675957117,2715153350,2164102318,3739404717,2002496259,1320625188
1001685974,0000010c43fc7f92,c90f,1175064521,2075865496,1453728951,3220094673,3933856719,2118834128,1858387317,619451552,795845884
1001762731,0000010c43fc7f92,c909,3662154185,3740694115,937093696,4244232157,442121583,131616745,3121738710,2444261242,2121868261
1001842609,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2147319203,3589523103,4254379681,2045484059,3664598535,3488192132
1002571615,0000010c43fc7f92,c90f,1175064521,2075865496,2903383223,2146270627,2884093343,4213792067,3167064859,3148469633,1454842916
1002667680,0000010c43fc7f92,c909,3662154185,2044451725,2377527845,4293146103,2253836171,32920506,1876783715,901491157,4236537417
1003019984,0000010c43fc7f92,c90f,1844711369,1013560091,2107878670,3671058413,2929841651,2609773972,1952157712,2958262454,2440167643
1003110262,0000010c43fc7f8b,243f,918699812,1872476977,460158240,2118053870,2253836251,32920506,616833141,3182677981,4234959634
1003473998,0000010c43fc7f92,cc87,922388428,3083722008,3512076178,1341324990,3027951352,2963264053,3314752411,3983436302,2178297097
1003648460,0000010c43fc7f92,cc87,922388428,3161321158,1874187649,4176719799,901020382,263233490,4244429912,1400086712,8152191
1003736741,0000010c43fc7f92,c900,3651535049,3690360332,1180376392,2144197627,2715154374,2164102318,3621542070,2849341922,3072599043
1004384933,0000010c43fc7f92,c90f,1175064521,3688787468,3029674439,4088380271,3027951352,2963264053,1658764005,4135779037,455672724
1004466315,0000010c43fc7f92,c90f,1844711369,3161320902,937085588,4244232157,442121583,131616745,3121738710,2444261242,1117809630
1004540909,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2146270627,3589523103,4254379681,3083778481,1798812986,2178166025
1004883808,0000010c43fc7f92,c90f,2381320137,3732305507,937093696,4244232158,442121583,131616745,316838882,2074562159,1873083516
1005333530,0000010c43fc7f92,c909,3662154185,3688598977,1756038089,3881794527,1760935153,1614783851,1976413528,3721718464,2356037960
1005400408,0000010c43fc7f92,c90f,1175064521,3688787468,3029674441,4088379759,3027951352,2980041269,1216892906,3627775419,3729324313
