rec_off,field_pos,target_off,cluster_rank,cluster_file,stream_start,stream_end,delta_from_start,assign_score
945209494,108,10382898,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3131185,-272.463
945360561,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619
946021097,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068
946251384,340,227126786,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,13696505,-1466.687
946954467,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062
949227606,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347
950434181,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068
951233573,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062
951471901,340,861900073,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,410358,70.619
951728946,256,29914601,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,112356,104.819
953155499,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347
