start,end,size,shape,tags,count
500830782,500830943,161,primary_chain_no4,BX*Hd|BX91|BXA0|BXU|BX{,5
500845972,500846087,115,primary_chain_no4,BX*Hd|BX91|BXA0|BXU,4
500850047,500850052,5,mixed,BXT,1
500860306,500860383,77,mixed,BX91|BXT,2
500882748,500882753,5,mixed,BX{,1
500886076,500886081,5,mixed,BX{,1
500894763,500894807,44,mixed,BX91|BXBa,2
500906292,500906378,86,mixed,BX91|BXA0|BXU,3
500917903,500917940,37,mixed,BX91|BXA0,2
500921022,500921027,5,mixed,BXU,1
500963577,500963621,44,mixed,BX91|BXA0,2
500978682,500978719,37,mixed,BX91|BXBa,2
500983408,500983413,5,mixed,BXU,1
501023599,501023671,72,mixed,BX91|BXA0|BXU,3
501042679,501042748,69,primary_chain_no4,BX*Hd|BX91|BXA0,3
501059712,501059782,70,primary_chain_no4,BX*Hd|BX91|BXA0,3
501084616,501084621,5,mixed,BX{,1
501100136,501100141,5,mixed,BXA0,1
501115370,501115405,35,mixed,BX91|BXA0,2
501130481,501130486,5,mixed,BX91,1
501134569,501134574,5,mixed,BXT,1
501154488,501154493,5,mixed,BX{,1
501158513,501158518,5,mixed,BX{,1
501169076,501169081,5,mixed,BX*Hd,1
501172921,501172926,5,mixed,BX91,1
501183604,501183709,105,mixed,BX*Hd|BXA0|BXT,3
501187701,501187706,5,mixed,BXU,1
501198386,501198391,5,mixed,BXU,1
501202670,501202675,5,mixed,BXA0,1
501236387,501236392,5,mixed,BX91,1
501245760,501245765,5,mixed,BXU,1
501250971,501250976,5,mixed,BXU,1
501265750,501265786,36,mixed,BX91|BXI1,2
501289490,501289495,5,mixed,BX{,1
501304852,501304961,109,mixed,BX*Hd|BXI1,2
501319869,501319874,5,mixed,BXI1,1
501323991,501323996,5,mixed,BXQ,1
501334856,501334902,46,mixed,BXA0|BXU,2
501358248,501358253,5,mixed,BX{,1
501373018,501373096,78,mixed,BX91|BXA0|BXI1,3
501387669,501387724,55,mixed,BXA0|BXI1,2
501402939,501402979,40,mixed,BX91|BXA0,2
501426503,501426549,46,mixed,BXA0|BX{,2
501430740,501430825,85,mixed,BXBa|BX{,2
501441784,501441834,50,mixed,BX91|BXA0,2
501445999,501446004,5,mixed,BXBa,1
501457193,501457239,46,mixed,BX91|BXA0,2
501472412,501472456,44,mixed,BX91|BXA0,2
501496618,501496623,5,mixed,BXBa,1
501510946,501510988,42,mixed,BX91|BXA0,2
501525445,501525490,45,mixed,BX91|BXA0,2
501529575,501529580,5,mixed,BXI1,1
501540793,501540891,98,mixed,BX91|BXA0|BXI1,3
501580542,501580547,5,mixed,BX91,1
501596455,501596549,94,mixed,BX91|BXU,2
501600983,501600988,5,mixed,BXQ,1
501612299,501612338,39,mixed,BX*Hd|BX91,2
501616693,501616698,5,mixed,BXU,1
501652465,501652470,5,mixed,BXI1,1
501656613,501656656,43,mixed,BX91|BXA0,2
501667948,501668121,173,mixed,BX91|BXU|BX{,3
501672103,501672108,5,mixed,BXA0,1
501683518,501683562,44,mixed,BX91|BXBa,2
501723206,501723245,39,mixed,BX91|BXA0,2
501740897,501740937,40,mixed,BX91|BXA0,2
501757775,501757936,161,mixed,BX91|BXA0|BX{,3
501783796,501783845,49,mixed,BXU|BX{,2
501800363,501800499,136,mixed,BX91|BXA0|BX{,3
501817086,501817238,152,mixed,BX91|BXA0|BXI1|BX{,4
501821577,501821667,90,mixed,BX91|BXA0|BXI1,3
501834121,501834213,92,mixed,BX91|BXI1,2
501838782,501838887,105,mixed,BX91|BXI1,2
501860029,501860034,5,mixed,BX{,1
501864527,501864532,5,mixed,BX{,1
501876361,501876366,5,mixed,BXU,1
501893094,501893099,5,mixed,BX{,1
501897373,501897430,57,mixed,BX*Hd|BX91,2
501910176,501910255,79,mixed,BX*Hd|BXQ|BXQ,3
501914845,501914850,5,mixed,BX91,1
501953160,501953165,5,mixed,BX91,1
501957595,501957600,5,mixed,BXQ,1
501969993,501970033,40,mixed,BX91|BXA0,2
501986370,501986375,5,mixed,BXA0,1
502025803,502025808,5,mixed,BX91,1
502040524,502040570,46,mixed,BXBa|BXU,2
502044482,502044487,5,mixed,BXBa,1
502054797,502054903,106,primary_chain_no4,BX*Hd|BX91|BXA0|BXT,4
502058617,502058662,45,mixed,BXA0|BXU,2
502094952,502095030,78,mixed,BX91|BXA0|BXI1,3
502105281,502105402,121,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
502119652,502119742,90,mixed,BX91|BXA0|BXI1,3
502123702,502123707,5,mixed,BX{,1
502142608,502142649,41,mixed,BX91|BXA0,2
502157310,502157359,49,mixed,BXA0|BXI1,2
502161116,502161239,123,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
502172094,502172138,44,mixed,BX91|BXA0,2
502175976,502176023,47,mixed,BX91|BXA0,2
502186924,502186966,42,mixed,BX91|BXA0,2
502190917,502190922,5,mixed,BXU,1
502209887,502209892,5,mixed,BX91,1
502223392,502223455,63,mixed,BXA0|BXI1,2
502226908,502226952,44,mixed,BX91|BXA0,2
502236275,502236376,101,mixed,BX91|BXA0|BXI1,3
502249270,502249315,45,mixed,BX91|BXA0,2
502271276,502271435,159,mixed,BX91|BXA0|BX{,3
502274530,502274676,146,mixed,BX91|BXA0|BX{,3
502283350,502283444,94,mixed,BX91|BXA0|BXI1,3
502295418,502295423,5,mixed,BX91,1
502298693,502298698,5,mixed,BX91,1
502307843,502307933,90,mixed,BX91|BXA0|BXI1,3
502330255,502330260,5,mixed,BXBa,1
502333468,502333473,5,mixed,BXBa,1
502342325,502342463,138,mixed,BX91|BXA0|BXI1|BX{,4
502354839,502354844,5,mixed,BX91,1
502358263,502358308,45,mixed,BX91|BXA0,2
502367717,502367722,5,mixed,BX91,1
502403985,502403990,5,mixed,BX91,1
502417466,502417506,40,mixed,BX*Hd|BX91,2
502431192,502431232,40,mixed,BX*Hd|BX91,2
502469551,502469591,40,mixed,BX91|BXA0,2
502473658,502473703,45,mixed,BX91|BXA0,2
502485210,502485215,5,mixed,BX91,1
502489443,502489448,5,mixed,BX91,1
502500652,502500657,5,mixed,BX91,1
502538800,502538843,43,mixed,BX91|BXA0,2
502542278,502542283,5,mixed,BXI1,1
502555773,502555857,84,mixed,BX91|BXA0|BXI1,3
502565742,502565824,82,mixed,BX91|BXA0|BXI1,3
502588241,502588295,54,mixed,BX91|BXA0,2
502603246,502603347,101,mixed,BX91|BXI1,2
502607041,502607083,42,mixed,BX91|BXA0,2
502617752,502617831,79,mixed,BX91|BXA0|BXI1,3
502621634,502621772,138,mixed,BX91|BXA0|BX{,3
502632236,502632383,147,mixed,BX91|BXA0|BXI1|BX{,4
502636055,502636060,5,mixed,BXI1,1
502654880,502654885,5,mixed,BX{,1
502671543,502671621,78,primary_chain_no4,BX*Hd|BX91|BXA0,3
502690551,502690622,71,primary_chain_no4,BX*Hd|BX91|BXA0,3
502696430,502696497,67,primary_chain_no4,BX*Hd|BX91|BXA0,3
502710902,502711128,226,mixed,BX*Hd|BX91|BX{,3
502737608,502737613,5,mixed,BXU,1
502752805,502752847,42,mixed,BX91|BXA0,2
502767752,502767828,76,mixed,BX91|BXA0|BXQ,3
502771667,502771707,40,mixed,BX91|BXA0,2
502782528,502782602,74,mixed,BX91|BXBa|BXU,3
502786367,502786405,38,mixed,BX91|BXBa,2
502806459,502806542,83,mixed,BXU|BX{,2
502810191,502810273,82,mixed,BXU|BX{,2
502820582,502820587,5,mixed,BXA0,1
502834563,502834634,71,mixed,BX91|BXA0|BXU,3
502848552,502848590,38,mixed,BX91|BXA0,2
502852136,502852173,37,mixed,BX91|BXA0,2
502871932,502872011,79,mixed,BXU|BX{,2
502875338,502875343,5,mixed,BXU,1
502885666,502885703,37,mixed,BX91|BXA0,2
502899889,502899961,72,mixed,BX91|BXA0|BXU,3
502903564,502903569,5,mixed,BX*Hd,1
502914813,502914851,38,mixed,BX91|BXA0,2
